Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-09 00:00:00-04:00,136.33999633789062,138.7100067138672,135.9499969482422,136.14999389648438,216400,0.0,0.0
2018-04-10 00:00:00-04:00,138.1999969482422,142.77000427246094,137.9199981689453,141.58999633789062,340200,0.0,0.0
2018-04-11 00:00:00-04:00,140.47000122070312,142.0399932861328,138.75,141.25,223000,0.0,0.0
2018-04-12 00:00:00-04:00,141.85000610351562,143.39999389648438,141.27000427246094,141.3000030517578,331900,0.0,0.0
2018-04-13 00:00:00-04:00,141.6999969482422,142.99000549316406,141.08999633789062,141.24000549316406,330700,0.0,0.0
2018-04-16 00:00:00-04:00,142.5,142.9499969482422,140.17999267578125,141.7899932861328,234700,0.0,0.0
2018-04-17 00:00:00-04:00,143.22000122070312,144.7100067138672,142.44000244140625,144.27999877929688,316400,0.0,0.0
2018-04-18 00:00:00-04:00,144.99000549316406,146.6999969482422,142.89999389648438,145.50999450683594,239000,0.0,0.0
2018-04-19 00:00:00-04:00,145.22000122070312,145.77999877929688,141.97999572753906,142.5,162600,0.0,0.0
2018-04-20 00:00:00-04:00,142.0500030517578,143.19000244140625,140.7899932861328,142.14999389648438,250200,0.0,0.0
2018-04-23 00:00:00-04:00,142.97000122070312,143.72000122070312,138.67999267578125,139.55999755859375,247200,0.0,0.0
2018-04-24 00:00:00-04:00,140.13999938964844,142.08999633789062,136.2899932861328,137.75,294100,0.0,0.0
2018-04-25 00:00:00-04:00,137.86000061035156,138.9199981689453,135.75,136.8800048828125,418400,0.0,0.0
2018-04-26 00:00:00-04:00,136.91000366210938,137.97000122070312,135.19000244140625,136.36000061035156,266900,0.0,0.0
2018-04-27 00:00:00-04:00,136.8000030517578,138.35000610351562,134.27000427246094,135.1300048828125,320500,0.0,0.0
2018-04-30 00:00:00-04:00,135.1199951171875,136.94000244140625,134.77999877929688,134.8300018310547,231400,0.0,0.0
2018-05-01 00:00:00-04:00,134.35000610351562,137.07000732421875,133.74000549316406,136.77999877929688,333600,0.0,0.0
2018-05-02 00:00:00-04:00,135.17999267578125,137.0399932861328,132.91000366210938,133.1199951171875,434000,0.0,0.0
2018-05-03 00:00:00-04:00,132.44000244140625,134.0500030517578,130.7899932861328,133.5399932861328,396400,0.0,0.0
2018-05-04 00:00:00-04:00,133.1699981689453,135.88999938964844,132.35000610351562,134.6699981689453,362900,0.0,0.0
2018-05-07 00:00:00-04:00,135.3800048828125,137.75,134.9600067138672,137.47999572753906,426500,0.0,0.0
2018-05-08 00:00:00-04:00,145.92999267578125,157.17999267578125,144.99000549316406,153.24000549316406,1501200,0.0,0.0
2018-05-09 00:00:00-04:00,155.2899932861328,155.66000366210938,149.13999938964844,149.57000732421875,536100,0.0,0.0
2018-05-10 00:00:00-04:00,149.97000122070312,154.55999755859375,149.64999389648438,153.1199951171875,375800,0.0,0.0
2018-05-11 00:00:00-04:00,153.49000549316406,155.6999969482422,152.91000366210938,155.57000732421875,445400,0.0,0.0
2018-05-14 00:00:00-04:00,155.27999877929688,156.0,153.0,153.64999389648438,314600,0.0,0.0
2018-05-15 00:00:00-04:00,152.13999938964844,154.72000122070312,149.72000122070312,154.4499969482422,378900,0.0,0.0
2018-05-16 00:00:00-04:00,153.85000610351562,156.80999755859375,152.11000061035156,156.0399932861328,334500,0.0,0.0
2018-05-17 00:00:00-04:00,155.02999877929688,156.25,152.27000427246094,153.6300048828125,308400,0.0,0.0
2018-05-18 00:00:00-04:00,152.6999969482422,154.58999633789062,152.60000610351562,152.6300048828125,177000,0.0,0.0
2018-05-21 00:00:00-04:00,152.02999877929688,155.14999389648438,152.02999877929688,154.16000366210938,223300,0.0,0.0
2018-05-22 00:00:00-04:00,154.5800018310547,155.69000244140625,153.52999877929688,154.19000244140625,245500,0.0,0.0
2018-05-23 00:00:00-04:00,154.00999450683594,154.00999450683594,152.27999877929688,152.9600067138672,195200,0.0,0.0
2018-05-24 00:00:00-04:00,153.08999633789062,154.4499969482422,152.02000427246094,153.80999755859375,312200,0.0,0.0
2018-05-25 00:00:00-04:00,153.6999969482422,155.22000122070312,153.3800048828125,154.9499969482422,272700,0.0,0.0
2018-05-29 00:00:00-04:00,154.02000427246094,156.32000732421875,153.6300048828125,153.99000549316406,250800,0.0,0.0
2018-05-30 00:00:00-04:00,154.3800048828125,156.89999389648438,153.42999267578125,156.1300048828125,360200,0.0,0.0
2018-05-31 00:00:00-04:00,156.4199981689453,157.8000030517578,152.57000732421875,153.50999450683594,536900,0.0,0.0
2018-06-01 00:00:00-04:00,154.00999450683594,154.47000122070312,152.1999969482422,152.49000549316406,715300,0.0,0.0
2018-06-04 00:00:00-04:00,152.86000061035156,153.91000366210938,152.57000732421875,153.3000030517578,519500,0.0,0.0
2018-06-05 00:00:00-04:00,154.27999877929688,156.89999389648438,154.0,156.77999877929688,522200,0.0,0.0
2018-06-06 00:00:00-04:00,157.1699981689453,159.39999389648438,156.05999755859375,158.97999572753906,465800,0.0,0.0
2018-06-07 00:00:00-04:00,159.47999572753906,159.8300018310547,157.88999938964844,158.1699981689453,429600,0.0,0.0
2018-06-08 00:00:00-04:00,158.72999572753906,161.72000122070312,157.83999633789062,160.66000366210938,662900,0.0,0.0
2018-06-11 00:00:00-04:00,160.9600067138672,161.3800048828125,158.60000610351562,158.77999877929688,263700,0.0,0.0
2018-06-12 00:00:00-04:00,158.77000427246094,161.1300048828125,158.77000427246094,160.94000244140625,264200,0.0,0.0
2018-06-13 00:00:00-04:00,160.22000122070312,160.25999450683594,157.75,158.02000427246094,283600,0.0,0.0
2018-06-14 00:00:00-04:00,158.9199981689453,159.72999572753906,157.6199951171875,157.72999572753906,261000,0.0,0.0
2018-06-15 00:00:00-04:00,155.47000122070312,157.47000122070312,154.52999877929688,155.9600067138672,863200,0.0,0.0
2018-06-18 00:00:00-04:00,155.86000061035156,157.80999755859375,154.94000244140625,155.0399932861328,516700,0.0,0.0
2018-06-19 00:00:00-04:00,153.0,154.99000549316406,149.4499969482422,152.55999755859375,515200,0.0,0.0
2018-06-20 00:00:00-04:00,153.13999938964844,155.27999877929688,152.72000122070312,153.02999877929688,231900,0.0,0.0
2018-06-21 00:00:00-04:00,153.0,153.58999633789062,150.1999969482422,150.69000244140625,316300,0.0,0.0
